season_id,our_elims,fandom_truth_rows,missing,extra
s02_real_world_road_rules_challenge,0,0,0,0
s03_challenge_2000,0,0,0,0
s04_extreme_challenge,0,0,0,0
s05_battle_of_the_seasons,40,0,0,40
s06_battle_of_the_sexes,29,0,0,50
s07_the_gauntlet,14,28,0,0
s08_the_inferno,16,16,0,14
s09_battle_of_the_sexes_2,27,0,0,54
s10_the_inferno_ii,16,16,0,14
s11_the_gauntlet_2,15,26,0,2
s12_fresh_meat,60,63,0,17
s13_the_duel,15,30,0,2
s14_the_inferno_3,16,16,0,9
s15_the_gauntlet_iii,15,30,0,0
s16_the_island,8,24,11,9
s17_the_duel_ii,20,40,0,0
s18_the_ruins,17,34,0,0
s19_fresh_meat_ii,32,62,0,1
s20_cutthroat,17,34,0,2
s21_rivals,32,64,0,0
s22_battle_of_the_exes,32,64,0,0
s23_battle_of_the_seasons_2012,44,84,0,6
s24_rivals_ii,36,72,0,5
s25_free_agents,21,42,0,1
s26_battle_of_the_exes_ii,40,80,0,0
s27_battle_of_the_bloodlines,22,26,0,18
s28_rivals_iii,32,64,0,0
s29_invasion_of_the_champions,18,35,5,4
s30_xxx_dirty_30,29,32,0,12
s31_vendettas,19,24,0,16
s32_final_reckoning,60,80,0,18
s33_war_of_the_worlds,36,72,4,6
s34_war_of_the_worlds_2,15,30,0,0
s35_total_madness,18,38,2,1
s36_double_agents,17,34,0,1
s37_spies_lies_allies,33,70,4,0
s38_ride_or_dies,53,126,6,2
s39_battle_for_a_new_champion,20,30,5,13
s40_battle_of_the_eras,38,60,0,14
s41_vets_and_new_threats,39,78,0,0
