season_id,season_num,page_name,season_name,year
s02_real_world_road_rules_challenge,2,Real World/Road Rules Challenge,Real World/Road Rules Challenge,1998
s03_challenge_2000,3,Challenge 2000,Challenge 2000,2000
s04_extreme_challenge,4,Extreme Challenge,Extreme Challenge,2001
s05_battle_of_the_seasons,5,Real World/Road Rules Challenge: Battle of the Seasons,Battle of the Seasons,2002
s06_battle_of_the_sexes,6,Battle of the Sexes,Battle of the Sexes,2003
s07_the_gauntlet,7,The Gauntlet,The Gauntlet,2004
s08_the_inferno,8,The Inferno,The Inferno,2004
s09_battle_of_the_sexes_2,9,Battle of the Sexes 2,Battle of the Sexes 2,2004
s10_the_inferno_ii,10,The Inferno II,The Inferno II,2005
s11_the_gauntlet_2,11,The Gauntlet 2,The Gauntlet 2,2005
s12_fresh_meat,12,Fresh Meat,Fresh Meat,2006
s13_the_duel,13,The Duel,The Duel,2006
s14_the_inferno_3,14,The Inferno 3,The Inferno 3,2007
s15_the_gauntlet_iii,15,The Gauntlet III,The Gauntlet III,2008
s16_the_island,16,The Island,The Island,2008
s17_the_duel_ii,17,The Duel II,The Duel II,2009
s18_the_ruins,18,The Ruins,The Ruins,2009
s19_fresh_meat_ii,19,Fresh Meat II,Fresh Meat II,2010
s20_cutthroat,20,Cutthroat,Cutthroat,2010
s21_rivals,21,Rivals,Rivals,2011
s22_battle_of_the_exes,22,Battle of the Exes,Battle of the Exes,2012
s23_battle_of_the_seasons_2012,23,Battle of the Seasons (2012),Battle of the Seasons,2012
s24_rivals_ii,24,Rivals II,Rivals II,2013
s25_free_agents,25,Free Agents,Free Agents,2014
s26_battle_of_the_exes_ii,26,Battle of the Exes II,Battle of the Exes II,2015
s27_battle_of_the_bloodlines,27,Battle of the Bloodlines,Battle of the Bloodlines,2015
s28_rivals_iii,28,Rivals III,Rivals III,2016
s29_invasion_of_the_champions,29,Invasion of the Champions,Invasion of the Champions,2017
s30_xxx_dirty_30,30,XXX: Dirty 30,XXX: Dirty 30,2017
s31_vendettas,31,Vendettas,Vendettas,2018
s32_final_reckoning,32,Final Reckoning,Final Reckoning,2018
s33_war_of_the_worlds,33,War of the Worlds,War of the Worlds,2019
s34_war_of_the_worlds_2,34,War of the Worlds 2,War of the Worlds 2,2019
s35_total_madness,35,Total Madness,Total Madness,2020
s36_double_agents,36,Double Agents,Double Agents,2020
s37_spies_lies_allies,37,"The Challenge: Spies, Lies & Allies",Spies Lies and Allies,2021
s38_ride_or_dies,38,Ride or Dies,Ride or Dies,2022
s39_battle_for_a_new_champion,39,Battle for a New Champion,Battle for a New Champion,2023
s40_battle_of_the_eras,40,Battle of the Eras,Battle of the Eras,2024
s41_vets_and_new_threats,41,The Challenge: Vets & New Threats,Vets and New Threats,2025
